ID,Source,Title,URL mentioned,description,API Landing,API vocabulary,query builder,Standards supported,Mandatory keywords,Spatial extent,Note,Additional links
1,Leslie,USGS Sediment Data Portal,https://cida.usgs.gov/sediment/,"Use the USGS sediment data portal to find and interpret USGS discrete and daily suspended-sediment as well as related data. The USGS National Water Information System (NWIS) is the original source of all daily and discrete suspended-sediment data presented in the portal, though some suspended-sediment data hosted by NWIS are not provided via this portal.","waterdata.usgs.gov, https://www.waterqualitydata.us/",https://nwis.waterdata.usgs.gov/usa/nwis/pmcodes,"https://www.waterqualitydata.us/portal/, eg https://www.waterqualitydata.us/Station/search?within=50&lat=32.8506429&long=-117.22038479999999&sampleMedia=Biological&mimeType=csv&zip=yes&sorted=no","WQS, WFS","Sediments, portal, USGS, suspended sediment, discrete sediment,",USA,"must be included, in RE3Data and CINERGI resources",https://www.waterqualitydata.us/other_portal_links/
2,Leslie,"Complexity of Bed-Load Transport in Gravel Bed Streams: Data Collection, Prediction, and Analysis","ftp://bedload.byu.edu, specifically ftp://bedload.byu.edu/BYU_Bedload.xlsx","Bedload transport has long been known for its complexity. Despite decades of research,
 significant gaps of understanding exist in the ability to assess and predict bedload movement.
 This work introduces a comprehensive bedload database that is a compilation of 40 years of field
 samples; compares prediction formulae using a subset of the database; evaluates the influence of
 the armor layer on stream response to sediment input, presents a mathematically manipulation of
 the empirical Pagosa Good/Fair formula for bedload transport into a format similar to the semiempirical
 Parker Surface-Based 1990 formula; and addresses the complications of bedload
 transport by collecting bedload samples on a stream in Central Utah.
 A comprehensive review of available bedload data resulted in a publicly available
 database with more than 8,000 individual bedload samples on gravel bed streams. Each
 measurement included detailed information regarding channel, site, and hydraulic characteristics.
 A subset of this database was used to compare four calibrated (a single bedload measurement
 near bankfull discharge is used to improve prediction accuracy) and two un-calibrated bedload
 prediction formulae. The four calibrated formulae include three semi-empirical (a theoretical
 treatment adjusted to fit bedload measurements) and one empirical (solely based on regression of
 bedload measurements) formula; the two un-calibrated formulae are both semi-empirical. Of the
 formulae compared, the empirical Pagosa Good/Fair formula (a calibrated formula) provided the
 most accurate prediction results with an overall root mean square error of 6.4%, an improvement
 of several orders of magnitude over the un-calibrated formulae. The Pagosa Good/Fair formula is
 cast in a form similar to the Parker 1990 formula, suggesting that criticisms stating that the
 empirical Pagosa method lacks a theoretical basis are unfounded.",,,,,"bedload, sampling, database, bedload prediction, armor layer; channel, flow rate, bed load transport rate; grain size; slope; depth, velocity, subsurface, flood, entrenchment ratio, rosgen, sinuosity,","East Saint Louis Creek, Colorado","extracted from xlsx, peculiarly formatted",
3,Leslie,ScienceBase bedload search results,https://www.sciencebase.gov/catalog/items?q=bedload,,,,,,,,we have it in ScienceBase,
4,Leslie,"A seismic signature of river bedload transport during storm events, Hsu, L.; Finnegan, N.J.; Brodsky, E.E., Geophysical Research Letters, Volume 38, (2011), doi:10.1029/2011GL047759,",https://drive.google.com/file/d/0B5JYwkWgsLhRMnlMbmZfQVpxU2s/view,"Seasonal patterns in high frequency seismic waves near rivers can record energy transmitted to the river bed from particle impacts during bedload transport. Here we show that single storm events in a river can also be observed seismically. We analyzed the high frequency seismic noise in a reach of the Cho‐Shui (Zhuóshuˇı) River in central Taiwan and made detailed observations during individual storm events. Discharge, derived from a water level gage 4.25 km from the seismometer, is highly variable due to typhoons. We found a correlation between seismic amplitude and discharge that differs on the rising and falling limbs of three storms. During each storm, for a given discharge the amplitude of seismic waves are on average two times greater on the rising limb of the storm than on the falling limb, in both aggradational and erosional events. Clockwise hysteresis in both aggradational and erosional events implies that water turbulence, alone, is not the source of the seismic waves. If seismic wave amplitude correlates linearly with the flux of bedload, this implies a roughly two‐fold decrease in transport efficiency over the time‐scale of days during individual storms. The observed change in transport efficiency can plausibly be explained by the disturbance of bed armor during storms and subsequent reformation during the waning stages. This data highlights the potential for fluvial seismology to reveal the dynamics of bedload transport.",,,,,"discharge, water level, rating curve, seismic, storm,","Cho‐Shui (Zhuóshuˇı) River in central Taiwan. Broadband Array in Taiwan for Seismology 23.7875N, 120.9540E) and the water gaging station (blue star, Station 1510H075, Bao-shih Bridge of the WRA, 23.7942N, 120.9142E), in the mountainous area of central Taiwan. The water station is ~4250 meters downstream of the seismic station.",may need to add as example of a publication with data,
6,Leslie,DataONE,,"ecology, environmental data",,,,,,world,"in process, 2884 coral-related datasets",
7,Leslie,USGS,,Benthic habitats in Hawaii; Surveys of 4 nat parks/sites: 3 on Kona coast of HI + 1 off of Molokai; Cochran Gibbs are authors,,,,,"benthic, habitat,",world,already in,
8,Leslie,LTER US,,long term ecological research,,http://im.lternet.edu/vocab_resources; http://vocab.lternet.edu,,,"SST, habitats, MOOREA",world; different per LTER,252 daraasers,
9,Leslie,Dryad,,publicaiton-related data on multiple topics,,,,,"Species, genetics, symbionts, ecology, fish",world,742 datasets,
10,Leslie,NOAA NCEI,,"Physical data. Ecological monitoring (corals, algae, sponges, fish, benthos). HI and FL. USVI coral transpl. Initial data dump in 2016 Incl legacy SST etc. data (1985 onward). There may be additional NOAA coral reef ecological monitoring data not available here – check w/ NOAA.
 Only metadata is stored at DataONE.",,,,,,world,1816 datasets; have them mostly?,
11,Leslie,KNB,https://knb.ecoinformatics.org/,"ecology, environmental data. Diverse environmental data.
 Scientists store thousands of open environmental and ecological data sets in the KNB. Plus, the KNB is a DataONE Member Node, so your data can be securely copied across the network for long term preservation",,,,,,world,22 datasets; available through DataONE,
