"Internal ID","Use Case filename#long","#href","Summarized by","Summary Date#date","Title","Domain Keywords#multi","EC Science Themes#multi","Interdisciplinarity (Low, Med, High)","Overall Goal#long","Main CI Challenges#long","Data Discovery Challenges#long","Data Types and Formats#long","Software Used#long","Standards Used","Additional Information#long","Internal notes#long","","","","","","","","","","","","","","","","","","","","","","","","#img","#name"
"31","Lake Tahoe as an example of a large inland water body study--Geoffrey Schladow","","KS","8/22/2016","Lake Tahoe as an Example of a Large Inland Water Body Study","Limnology","Long-term trends|State parameters|Sources of variability","?Med","To combine real-time and actively sampled data to understand how physical processes in Lake Tahoe, over both short term and long terms, are impacted by ecological change in the area.","- have 3-4 home-grown database systems for their multiple data types that take effort to develop, aren't compatible with each other, and are problematic when someone retires or budgets fluctuate. Don't have the money for Oracle, don't have CS expertise to build better, and their scientists are not well-trained in this. \n- There is a need for real-time quality controlled data, But the QC processes are time consuming, so this can't be met. Would like automated, artificial intelligence approach to real-time validations. ""this may be the biggest ongoing dilemma.""\n- Having one data access architecture serve different user types with different needs/expectations \n- can't calibrate most instruments remotely\n- some data needs to be collected in-person","- serving data to diverse users (public wants downsampled, science wants high temporal resolution, etc) using home-grown systems developed with little CS expertise.","- Data Types: ecological and water quality data station, processed image data, simulation data, sequence data. Imported LIDAR data.\n- Data Sources: in situ sensors (field data) - streaming and manual readings. Model and analytic outputs. Molecular sequencing\n- Data Repositories: ""NOAA data sources""\n- Data Formats: CSV (put into SQL database):  essentially GPS location, timestamp, and a set of measured parameters.\n- DAta Volume: ""Huge"": 10MB per day for water quality. 20TB/day for LSST (but not clear if they are archiving this or using it)\n","Software: We utilize geospatial software, MATLAB, and a variety of statistical packages. We use various statistical and database programs where possible as well. \n- SQL for database","- ""there are not standards to the data types we collect or store.""","","",,,,,,,,,,,,,,,,,,,,,,,,"golden","Lake Tahoe as an Example of a Large Inland Water Body Study"
"1","Kathleen Ritterbush Use Case summary","","KS","8/15/2016","Information tracking for a large collaborative deep-time project","Paleontology|Geochemistry|Ecological modeling","Sources of variability|Long-term trends|Implications for others","High","To create a community data portal that integrates paleontological and geochemical data about samples (rocks, photos, microscope slides) for use by those sciences plus ecological modelers. Could support important hypothesis testing.","- no system holds all the information about a sample and what has happened to it, plus the underlying stratigraphic framework. Very time consuming to try to capture information manually, data are all split up in ""weird"" repositories. \n- need to accommodate age models with uncertainty/confidence level in the dating of samples\n- GIS works for the spatial component, but not the temporal component","- wants to be able to find all the information about a sample, whether paleontological or geochemical.","Data Types:  information about samples (field and lab), including microscope slides and images of slides; geochemical data from samples, age models, stratigraphic data\nFormats: GIS, Excel, Pivot Pilot (not clear exact formats)\nRepositories: multiple, not named","Excel\nPivot Pilot\nAdobe Illustrator\nPossibly GIS","none mentioned","Provider would very much like the desired system to actually be developed.","use case needs to be reorganized into template",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Information tracking for a large collaborative deep-time project"
"3","Seismology_CHORDS_science_use_case_Vernon","","KS","8/15/2016","Streaming real-time data for seismic early warning and monitoring and environmental monitoring","Atmospheric processes|Seismology|Natural hazards","Sources of variability|Hazards","High","Develop a real-time streaming network for seismology and atmospheric sensors and cameras (data and processed products), for use by researchers, policy makers, first responders.. Specifically, for Seismology and other areas: \n1) Make it easier to bring in data in real-time. This enhances usefulness by getting the scientific analysis out of it faster and earlier, by making the best quality measurements. \n2) Generating more, better data products that more accurately reflect the actual weather phenomenon.\n3) Capture enough data to get big picture of environment with high-quality timing (correlated timing between sensors)\n","- Funding is insufficient to cover the number of sensors (don't have meteorological sensorss at all monitoring sites) and the sophistication of algorithms he would like. \n- Need to figure out a way to build a sustainable network that�s well engineered and migrated into a sustainable infrastructure.A long term maintenance model is needed.\n","Copied from Use Case\n(These are about data collection but could also apply to saved data)\n- Geometric mapping of different data types and all of the different inputs coming at once is really hard to do\n- Figuring out time scales to take measurements at and then matching them up - for each new variable in each location, timeframe\n- Weather effects can knock out ability to collect data, causing gaps in data\n- Synchronizing data","- Data Sources: variety of in situ sensors giving images, meteorological, seismic, motion accelerometer, and state of health data. \n- Data Formats: miniC (a seismology format). There are MATLAB interfaces for this. Data formats are described on IRIS/DMC web site.\n- Repositories: IRIS DMC\n- Volume: 5TB/yr US, 10TB waveform for whole project.\n- Velocity: real-time (2 sec latency)\n- Variability: lots\n- Veracity: high","Most used: Antelope, MATLAB. \nOthers: Fledermaus (3d 4d vis), ObsPy/Pyton","none","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Streaming real-time data for seismic early warning and monitoring and environmental monitoring"
"4","Watershed_model_Chapela_Lara_Full_V2","","KS","8/15/2016","A dynamical watershed model for concentration-age-discharge in a highly weathered tropical site (Luquillo CZO).","Computational hydrology (geophysics)","Predictions|Sources of variability","High","Improve knowledge of the relationship between chemical weathering, nutrient cycling and hydrology by developing model repositories and online access to data to support the hydrological parameters","1. Not all data are discoverable and accessible - LTER Catalog helps, but is not complete, so individual scientists need to be asked for their data. \n2. The data require QC and manipulation that is time consuming. Some of the QC could be automated if community scripts were available. Variations in parameter names and units also made time consuming, and metadata was not always complete\n3. There were gaps in the data, making it hard to find sites and timespans with complete data.","I also spent a lot of time finding the right parameters, as different terms are used exchangeably or change through historical records, or units that are common ground for hydrologists/climatologist, but were unknown to me. While usually I could solve that by looking at the explanation in the LCZO metadata, the LTER one is less clear, and sometimes I had to contact the data manager directly or look up several books. This could be easily solved having a hydro-Glossary or similar, as well as common units and abbreviations.\nMost of the problems I encountered can be grouped as:\na)        Missing values\nb)        Values at sampling intervals longer than required by the model\nc)        Values at sampling intervals shorter than required by the model\nd)        Different units\n\nPart of his search is that she wants to find sites and timespans with complete data. Not just do data exist in that place/time, but is it complete. ","- Data Sources: LTER Data Catalog, LCZO Data Catalog, published papers, *and* privately held, unpublished data. \n- Data Format: Mostly .csv files, few .txt and excel. The only data heterogeneity problem was with dates and with units. CDF (Computable Document Framework) format or documenting models that provides the basic theory, equations and numerical solution along with visualization of results\n- Repositories: Luquillo LTER data catalog, LCZO repository\n- Variety (multiple datasets, mashup): Data heterogeneity was an important challenge, both managing the variety and figuring out which are best suited to the model\n- Variability: Missing data (gaps) was a large challenge\n- Veracity/Data Quality (accuracy, precision): Reliability of some of the data was an issue, and could not have been spotted without hydrology expertise; asking the LCZO data manager and PI was needed to finally discard some data. \n- Data Types: All were time series, except for well logs and map of the site","- GitHub: a tool for sharing software and tracking versions.\n- GeoSoft model library\n- The model Maria based her customized model on, residing in GitHub\n- Maria�s customized model, a changed version of the above.\n- Matlab and Mathematica: the environment in which Maria edited the model.\n- Skype: for communication","EML (Ecological Metadata Language)\nISO 19115 metadata\nDOIs","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","A dynamical watershed model for concentration-age-discharge in a highly weathered tropical site (Luquillo CZO)."
"11","https://drive.google.com/drive/folders/0B-WQtNtnyJLTSXQ3MU8yd1FsdFU","","LK","8/24/2016","EarthCollab data center use cases_Mayernik","Polar programs|Earth Science|CISE|AGS|OCE","unclear","High","1) Developing of a novel semantic web cyberinfrastructure using Vivo software; and \n2) Developing semantic web models specific to the needs of earth sciences by using the data center use cases of UNAVCO�s geodesy research and a Bering Sea project to provide the technical details and domain science content for the models. \n","- Challenge: Getting the links established between components in the semantic web, e.g. between publications and datasets, is time consuming manual process now but could be done with software. This is more of a human problem than a technology problem, as standards are just starting to be developed to help guide people�s documentation of information. There are many people working on trying to solve this problem. Some solutions underway in the larger community: 1) Assigning DOI�s to projects and project components (e.g., datasets), and 2) Create standards among publishers so that these connections and tracking capabilities happen at the point of publication. Efforts made in their project: They are using a combination of search engines for data mining and manual searching. Manual searching is working fine for their small project (on the order of thousands of data entries), but it is not a scalable solution. As their project grows, this is likely to become a problem.\n- Challenge: Data variety. Without available standards, each data center/institute uses different formats. This data variety is a challenge because all must be converted to RDF, so that they can be used by Vivo. For example, they must map time ranges into an RDF structure, and this is time-consuming. It would be nice if this process was more efficient. This is a challenge that all semantic web projects face. On the other hand, the diversity in the data formats is also beneficial. If you try to standardize everything, it takes away the value that diversity also has to offer (e.g., more opportunities for innovation). Efforts: Currently, they do all of this translation work manually. They are writing translation tools themselves with the help of software engineers. ","","�","Vivo","RDF\nOntology - VIVO-ISF, GCIS, DCAT","This is an EC funded project in support of data discovery, not a scientist seeking to solve a science problem, per se.","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","EarthCollab data center use cases_Mayernik"
"15","Stromatolite Distribution In Space And Time_Peters.docx","","KS","8/19/2016","Stromatolite Distribution In Space And Time","Genetics|Paleontology|Mineralogy","None","High","To use GeoDeepDive to compile data and data synthesis on the frequency (e.g., peaks and declines) of stromatolite occurrence in space and time as a source of information about the evolution of earth�s surface environmental conditions.\n","- before GeoDeepDive: data on stromatolite occurrence data were distributed in diverse scientific literature, and difficult and time consuming to access & extract.\n- Continuing challenges for GeoDeepDive: CPU is limiting, require coding skills to use that many students do not have, data quality problems, not able to find all data in a paper, etc.\n- how to credit data aggregations from GeoDeepDive is not fully resolved - can list the papers, but not all contribute equally. Need community best practices around this.","- finding data on stromatolite occurences in published scientific literature\n- as literature is added to GeoDeepDive, may want to repeat the search, but not clear if there is an efficient way to retrieve just the new hits.","- Data Formats: PDFs\n- Data Types: stromatolite distributions in space and time, from published literature\n- Data Repositories: published literature collections\n- Data Volume: could be up to 100s of GBs. Problematic volume for personal computers. \n- Data velocity, variety, and variability not listed as challenges","GeoDeepDive (use case was provided by GeoDeepDive team)","Open source, standard formats, annotation provided by software toolkit. Eg. Stanford NLP","EC GeoDeepDive (use case was provided by GeoDeepDive team)","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Stromatolite Distribution In Space And Time"
"17","Mapping River Migration Dynamics From Landsat Imagery_Schwenk","","KS","8/19/2016","Mapping River Migration Dynamics From Landsat Imagery","Geomorphology|Global change|Geographic location","Sources of variability|Hazards|Predictions","High","To understand the migration of rivers through time using Landsat satellite imagery of rivers. Big questions ultimately are: How do humans impact river dynamics? (And how are humans impacted by migrating rivers?) How might climate changes and sediment dynamics affect river migration? ","- processing the images to mark what is water and what is land is manual and very time consuming. He thinks he could develop an algorithm to do it. \n- No appropriate repo exists: he would like to share all of his data products, intermediate products, and tools, but doesn't know where/how. He had to develop all his code, and after he shared it, many people used it, and he was also told someone else had already developed that code (lack of sharing leads to redundant effort)\n- currently requires a supercomputer, but he would like to make data and processes desktop accessible - he thinks this is tractable.\n- having standards and defined methodologies would have helped him\n- data products are large enough that sharing them within his team, and externally, is hard. \n- no good visualization approach for showing the quantified data compactly. ","He is able to access the data he wants from  Google Earth Engine API and/or Earth Explorer (USGS product). This was not noted as a challenge. \n","- Data Formats: Images are downloaded as a *.tiff, he stores data as *.mat and *.m (matlab scripts). Intermediate data products that are raster images that may be in any format (e.g. *.tiff, *.jpeg, *.png, etc.).  \n- Data Repositories: Google Earth Engine API, USGS Earth Explorere (Landsat archive)\n- Data Types: Landsat satellite imagery (input), data on river position and classification (width, cruvature, migration, etc.), maps of river\n- Data Volume: Downloading files from Landsat are about 250 GB, and he processes these down to make them smaller. Processed final map image and intermediate maps for the Ucayali River map are about 2 GB. He is unsure how much data volume would be required to make maps for all of South America. \n - Data Velocity (e.g., real time): Ranges from a few MBs to a few GBs a day. He averages about 0.5 GB a day. Not listed as challenge\n- Data Variety: not a challenge\n- Data Veracity: relies on USGS processing of Landsat. ","Python and Matlab scripts that he wrote. Google Earth Engine","Lack of standards is a challenge","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Mapping River Migration Dynamics From Landsat Imagery"
"22","https://docs.google.com/document/d/1E4Ql_leJ-GRo3Z6Yoo2Ywg2xQdi8uw4G1Sw5HnmY9ns/edit","","LK","8/26/2016","NARCCAP Data for City Management","Global change|Policy sciences","Hazards|Predictions","High","To supply a city's managers (TX?) and others with future scenario temperatures based on the NARCCAP data, so that their team can make city infrastructure decisions.\n","-�Large data transfers not easily supported, so end up sending hard disk drives to supply data\n-�Need tools for extracting the relevant data (or subsampling) based on required info, such as location\n- Need format converters \n- Downloads are�challenging - different internet browsers, security constraints\n-�Analysts choose their own S/W. Different S/W support different data formats\n- Because they assumed the data would never change, it was not versioned and there were no plans to update it\n","- extracting the relevant data from the NA dataset\n- Analysts choose their own S/W. Different S/W support different data formats\n- different OSs have different and less or more tools to work with projected coordinate systems (it doesn't use lat/long\n- Data is in 5-year chunks\n- 30 day/month calendar vs. 365 day/year cause synching issues\n- Units differences, conversion needs\n","netCDF","User dependent, in this example case: ArcGIS","CF metadata\nspecifications on NARCCARP site","Nice process description in use case","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","NARCCAP Data for City Management"
"25","Access to Wisconsin Geologic samples collection_ Stanley.docx","","KS","8/20/2016","Access to Wisconsin Geologic Samples Collection","Informatics|Geochemistry|Geochronology","Long-term trends|Sources of vulnerability|Hazards|Predictions","High","To have a portal to the data and samples in the Wisconsin Geological and Natural History Survey (WGNHS) repository to make them more discoverable.","- need to standardize the collection. Some samples have IGSNs, but not all. Legacy samples don't always have the metadata necessary for an IGSN. would like a more efficient way to get IGSNs\n- no clear place in the workflow where IDs and metadata are captured. Time consuming and effort is limited particularly for legacy sample work\n- need to build a portal ","- They need to build a portal to make their sample information discoverable; but she says this is not hard- there are lots of good exemples out there - but is workd and resources are limited. \n- it would be helpful if there were an easy way for their database to communicate directly with SESAR (the ISGN registry)\n- need to develop metadata templates for uniform data collection. ","- Data Types: Data and metadata about geological samples: geospatial, geochemical, descriptions of data, images, scans, geophysical data, and digital elevation models. Data of the different samples are tied together by depth (i.e., in the earth).  \n- Data Sources: field, chemical analyses (XRF devices), digital elevation model (DEM) output\n- Data repositories: SESAR IGSNs repository. Project hosts their own data on WGNHS servers. \n- Data Formats: Excel .xls, Arcmap shape files, layer files (e.g. lidar dataset), jpeg, nef, .kmz\n- Data Volume: 10.3 TB  \n- Data Velocity, Variability: not stated as challenges\n- Data Veracity/Quality: needs to be addressed. Interviewee is working on a workflow for quality. \n- Data Variety: many different kinds of data need to be brought together. "," ArcMap. ArcMap, Petrel (can view samples through Access, but it�s in Microsoft SQL server), Adobe Photoshop and Illustrator, Microsoft Office, LabelMatrix\nThey are currently deciding on which descriptor software to use. \n","- USGS metadata repository � National Digital Catalog.\n- NCGMP09 � National Geologic Map Database \nEditorial note: these are listed in the standards section, but it is not clear if they are standards, or data repositories/resources.","EC iSamples project is helping with workflows","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Access to Wisconsin Geologic Samples Collection"
"26","https://docs.google.com/document/d/1PwEfIwGt68FuaE1W6DYOEX5JFFYJ1Cuy0osJvo15d9k/edit","","LK ","8/26/2016","Science data system infrastructure","Informatics","None","High","Provide the infrastructure, capabilities, and support for science discovery. Enhance science discovery by providing a data system that can support the science data life cycle. Allow for improved decision-making, and public education and communication. \n","- Project Management:  budgeting and scheduling, finding the right talent, keeping up with emerging technologies, staying technical as much as possible. There is more funding than people to do the work.\n- Identifying end user requirements: scientists don't always know what they want.\n- Getting community buy-in\n- Many different data formats and metadata. People use different terms to describe relationships between data. This makes data systems architecture very complicated. ","","Data Formats: Many - depends on the client. This is a challenge. \nplus Geotiff for visualization\n","Lots, including for cloud computing","OGC\nWeb services","Not a geoscientist use case - is from a group that develops CI to support scientist","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Science data system infrastructure"
